año,municipio,geocode,Actividad económica,num_casos
2021,Adeje,20210101_38001_D01_S001,"Agricultura, ganadería y pesca",2
2021,Adeje,20210101_38001_D01_S001,Construcción,40
2021,Adeje,20210101_38001_D01_S001,Industria,21
2021,Adeje,20210101_38001_D01_S001,No consta,0
2021,Adeje,20210101_38001_D01_S001,Servicios,591
2021,Adeje,20210101_38001_D01_S002,"Agricultura, ganadería y pesca",13
2021,Adeje,20210101_38001_D01_S002,Construcción,39
2021,Adeje,20210101_38001_D01_S002,Industria,22
2021,Adeje,20210101_38001_D01_S002,No consta,0
2021,Adeje,20210101_38001_D01_S002,Servicios,942
2021,Adeje,20210101_38001_D01_S003,"Agricultura, ganadería y pesca",14
2021,Adeje,20210101_38001_D01_S003,Construcción,39
2021,Adeje,20210101_38001_D01_S003,Industria,18
2021,Adeje,20210101_38001_D01_S003,No consta,1
2021,Adeje,20210101_38001_D01_S003,Servicios,993
2021,Adeje,20210101_38001_D01_S004,"Agricultura, ganadería y pesca",31
2021,Adeje,20210101_38001_D01_S004,Construcción,37
2021,Adeje,20210101_38001_D01_S004,Industria,28
2021,Adeje,20210101_38001_D01_S004,No consta,0
2021,Adeje,20210101_38001_D01_S004,Servicios,682
2021,Adeje,20210101_38001_D01_S005,"Agricultura, ganadería y pesca",47
2021,Adeje,20210101_38001_D01_S005,Construcción,58
2021,Adeje,20210101_38001_D01_S005,Industria,39
2021,Adeje,20210101_38001_D01_S005,No consta,0
2021,Adeje,20210101_38001_D01_S005,Servicios,860
2021,Adeje,20210101_38001_D01_S006,"Agricultura, ganadería y pesca",26
2021,Adeje,20210101_38001_D01_S006,Construcción,50
2021,Adeje,20210101_38001_D01_S006,Industria,37
2021,Adeje,20210101_38001_D01_S006,No consta,0
2021,Adeje,20210101_38001_D01_S006,Servicios,986
2021,Adeje,20210101_38001_D01_S007,"Agricultura, ganadería y pesca",11
2021,Adeje,20210101_38001_D01_S007,Construcción,30
2021,Adeje,20210101_38001_D01_S007,Industria,25
2021,Adeje,20210101_38001_D01_S007,No consta,0
2021,Adeje,20210101_38001_D01_S007,Servicios,1306
2021,Adeje,20210101_38001_D01_S008,"Agricultura, ganadería y pesca",7
2021,Adeje,20210101_38001_D01_S008,Construcción,56
2021,Adeje,20210101_38001_D01_S008,Industria,20
2021,Adeje,20210101_38001_D01_S008,No consta,1
2021,Adeje,20210101_38001_D01_S008,Servicios,892
2021,Adeje,20210101_38001_D01_S009,"Agricultura, ganadería y pesca",9
2021,Adeje,20210101_38001_D01_S009,Construcción,48
2021,Adeje,20210101_38001_D01_S009,Industria,36
2021,Adeje,20210101_38001_D01_S009,No consta,0
2021,Adeje,20210101_38001_D01_S009,Servicios,1093
2021,Adeje,20210101_38001_D01_S010,"Agricultura, ganadería y pesca",10
2021,Adeje,20210101_38001_D01_S010,Construcción,23
2021,Adeje,20210101_38001_D01_S010,Industria,28
2021,Adeje,20210101_38001_D01_S010,No consta,0
2021,Adeje,20210101_38001_D01_S010,Servicios,532
2021,Adeje,20210101_38001_D01_S011,"Agricultura, ganadería y pesca",46
