año,MEDIDAS_CODE,MEDIDAS,municipio,OBS_VALUE,geocode
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,1.9,20210101_38001_D01_S011
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,1.9,20210101_38001_D01_S018
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.4,20210101_38001_D01_S008
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.4,20210101_38001_D01_S009
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.5,20210101_38001_D01_S007
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,2.7,20210101_38001_D01_S013
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.0,20210101_38001_D01_S003
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.2,20210101_38001_D01_S017
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.3,20210101_38001_D01_S005
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.3,20210101_38001_D01_S010
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.4,20210101_38001_D01_S012
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.5,20210101_38001_D01_S001
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.8,20210101_38001_D01_S014
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.8,20210101_38001_D01_S015
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,3.9,20210101_38001_D01_S016
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,4.1,20210101_38001_D01_S006
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,4.6,20210101_38001_D01_S002
2021,OTRAS_PRESTACIONES,Otras prestaciones, Adeje,4.8,20210101_38001_D01_S004
2021,OTRAS_PRESTACIONES,Otras prestaciones, Agulo,4.2,20210101_38002_D01_S001
2021,OTRAS_PRESTACIONES,Otras prestaciones, Alajeró,4.7,20210101_38003_D01_S001
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arafo,3.6,20210101_38004_D01_S001
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arafo,4.1,20210101_38004_D01_S003
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arafo,4.3,20210101_38004_D01_S002
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arico,3.5,20210101_38005_D01_S002
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arico,3.5,20210101_38005_D01_S003
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arico,3.7,20210101_38005_D01_S004
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arico,3.9,20210101_38005_D01_S005
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arico,4.1,20210101_38005_D01_S001
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arico,4.7,20210101_38005_D01_S006
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,1.4,20210101_38006_D01_S033
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,2.3,20210101_38006_D01_S011
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,2.7,20210101_38006_D01_S020
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,2.9,20210101_38006_D01_S026
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.3,20210101_38006_D01_S006
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.4,20210101_38006_D01_S001
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.4,20210101_38006_D01_S015
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.4,20210101_38006_D01_S019
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.5,20210101_38006_D01_S005
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.5,20210101_38006_D01_S017
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.7,20210101_38006_D01_S002
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.7,20210101_38006_D01_S028
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,3.8,20210101_38006_D01_S024
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.0,20210101_38006_D01_S010
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.0,20210101_38006_D01_S014
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.1,20210101_38006_D01_S003
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.1,20210101_38006_D01_S008
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.1,20210101_38006_D01_S022
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.4,20210101_38006_D01_S032
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.4,20210101_38006_D01_S034
2021,OTRAS_PRESTACIONES,Otras prestaciones, Arona,4.5,20210101_38006_D01_S027
