año,municipio,geocode,ocupacion,num_casos
2021,Adeje,20210101_38001_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,152
2021,Adeje,20210101_38001_D01_S001,No consta,27
2021,Adeje,20210101_38001_D01_S001,Ocupaciones elementales,104
2021,Adeje,20210101_38001_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,372
2021,Adeje,20210101_38001_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,161
2021,Adeje,20210101_38001_D01_S002,No consta,40
2021,Adeje,20210101_38001_D01_S002,Ocupaciones elementales,197
2021,Adeje,20210101_38001_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,618
2021,Adeje,20210101_38001_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,194
2021,Adeje,20210101_38001_D01_S003,No consta,37
2021,Adeje,20210101_38001_D01_S003,Ocupaciones elementales,135
2021,Adeje,20210101_38001_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,699
2021,Adeje,20210101_38001_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,105
2021,Adeje,20210101_38001_D01_S004,No consta,29
2021,Adeje,20210101_38001_D01_S004,Ocupaciones elementales,192
2021,Adeje,20210101_38001_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,452
2021,Adeje,20210101_38001_D01_S005,Directores/gerentes y profesionales/técnicos de nivel medio o alto,203
2021,Adeje,20210101_38001_D01_S005,No consta,32
2021,Adeje,20210101_38001_D01_S005,Ocupaciones elementales,198
2021,Adeje,20210101_38001_D01_S005,Trabajadores cualificados y oficiales/operarios de nivel bajo,571
2021,Adeje,20210101_38001_D01_S006,Directores/gerentes y profesionales/técnicos de nivel medio o alto,196
2021,Adeje,20210101_38001_D01_S006,No consta,30
2021,Adeje,20210101_38001_D01_S006,Ocupaciones elementales,236
2021,Adeje,20210101_38001_D01_S006,Trabajadores cualificados y oficiales/operarios de nivel bajo,637
2021,Adeje,20210101_38001_D01_S007,Directores/gerentes y profesionales/técnicos de nivel medio o alto,269
2021,Adeje,20210101_38001_D01_S007,No consta,58
2021,Adeje,20210101_38001_D01_S007,Ocupaciones elementales,125
2021,Adeje,20210101_38001_D01_S007,Trabajadores cualificados y oficiales/operarios de nivel bajo,920
2021,Adeje,20210101_38001_D01_S008,Directores/gerentes y profesionales/técnicos de nivel medio o alto,280
2021,Adeje,20210101_38001_D01_S008,No consta,58
2021,Adeje,20210101_38001_D01_S008,Ocupaciones elementales,108
2021,Adeje,20210101_38001_D01_S008,Trabajadores cualificados y oficiales/operarios de nivel bajo,530
2021,Adeje,20210101_38001_D01_S009,Directores/gerentes y profesionales/técnicos de nivel medio o alto,378
2021,Adeje,20210101_38001_D01_S009,No consta,45
2021,Adeje,20210101_38001_D01_S009,Ocupaciones elementales,91
2021,Adeje,20210101_38001_D01_S009,Trabajadores cualificados y oficiales/operarios de nivel bajo,672
2021,Adeje,20210101_38001_D01_S010,Directores/gerentes y profesionales/técnicos de nivel medio o alto,154
2021,Adeje,20210101_38001_D01_S010,No consta,35
2021,Adeje,20210101_38001_D01_S010,Ocupaciones elementales,77
2021,Adeje,20210101_38001_D01_S010,Trabajadores cualificados y oficiales/operarios de nivel bajo,327
2021,Adeje,20210101_38001_D01_S011,Directores/gerentes y profesionales/técnicos de nivel medio o alto,305
2021,Adeje,20210101_38001_D01_S011,No consta,64
2021,Adeje,20210101_38001_D01_S011,Ocupaciones elementales,165
2021,Adeje,20210101_38001_D01_S011,Trabajadores cualificados y oficiales/operarios de nivel bajo,861
2021,Adeje,20210101_38001_D01_S012,Directores/gerentes y profesionales/técnicos de nivel medio o alto,174
2021,Adeje,20210101_38001_D01_S012,No consta,39
2021,Adeje,20210101_38001_D01_S012,Ocupaciones elementales,136
2021,Adeje,20210101_38001_D01_S012,Trabajadores cualificados y oficiales/operarios de nivel bajo,489
2021,Adeje,20210101_38001_D01_S013,Directores/gerentes y profesionales/técnicos de nivel medio o alto,399
2021,Adeje,20210101_38001_D01_S013,No consta,54
2021,Adeje,20210101_38001_D01_S013,Ocupaciones elementales,117
2021,Adeje,20210101_38001_D01_S013,Trabajadores cualificados y oficiales/operarios de nivel bajo,826
2021,Adeje,20210101_38001_D01_S014,Directores/gerentes y profesionales/técnicos de nivel medio o alto,109
2021,Adeje,20210101_38001_D01_S014,No consta,20
2021,Adeje,20210101_38001_D01_S014,Ocupaciones elementales,92
2021,Adeje,20210101_38001_D01_S014,Trabajadores cualificados y oficiales/operarios de nivel bajo,333
2021,Adeje,20210101_38001_D01_S015,Directores/gerentes y profesionales/técnicos de nivel medio o alto,155
2021,Adeje,20210101_38001_D01_S015,No consta,34
2021,Adeje,20210101_38001_D01_S015,Ocupaciones elementales,159
2021,Adeje,20210101_38001_D01_S015,Trabajadores cualificados y oficiales/operarios de nivel bajo,510
2021,Adeje,20210101_38001_D01_S016,Directores/gerentes y profesionales/técnicos de nivel medio o alto,130
2021,Adeje,20210101_38001_D01_S016,No consta,27
2021,Adeje,20210101_38001_D01_S016,Ocupaciones elementales,93
2021,Adeje,20210101_38001_D01_S016,Trabajadores cualificados y oficiales/operarios de nivel bajo,325
2021,Adeje,20210101_38001_D01_S017,Directores/gerentes y profesionales/técnicos de nivel medio o alto,248
2021,Adeje,20210101_38001_D01_S017,No consta,34
2021,Adeje,20210101_38001_D01_S017,Ocupaciones elementales,122
2021,Adeje,20210101_38001_D01_S017,Trabajadores cualificados y oficiales/operarios de nivel bajo,597
2021,Adeje,20210101_38001_D01_S018,Directores/gerentes y profesionales/técnicos de nivel medio o alto,503
2021,Adeje,20210101_38001_D01_S018,No consta,71
2021,Adeje,20210101_38001_D01_S018,Ocupaciones elementales,73
2021,Adeje,20210101_38001_D01_S018,Trabajadores cualificados y oficiales/operarios de nivel bajo,950
2021,Agulo,20210101_38002_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,99
2021,Agulo,20210101_38002_D01_S001,No consta,18
2021,Agulo,20210101_38002_D01_S001,Ocupaciones elementales,48
